代码,名称,最后日期,涨停日,调整天数,现价
601369,陕鼓动力,2026-07-03,2026-06-26,2,9.05
600661,昂立教育,2026-07-03,2026-07-01,2,7.54
000506,招金黄金,2026-07-03,2026-07-02,1,13.87
002392,北京利尔,2026-07-03,2026-07-02,1,8.74
002615,哈尔斯,2026-07-03,2026-06-30,3,7.78
000925,众合科技,2026-07-03,2026-07-01,2,9.76
603928,兴业股份,2026-07-03,2026-07-02,1,14.7
000017,深中华A,2026-07-03,2026-06-30,3,6.09
600446,金证股份,2026-07-03,2026-07-01,2,10.46
600867,通化东宝,2026-07-03,2026-06-29,4,8.23
002180,纳思达,2026-07-03,2026-06-29,4,16.37
600846,同济科技,2026-07-03,2026-06-30,3,10.93
605189,富春染织,2026-07-03,2026-07-02,1,16.05
002423,中粮资本,2026-07-03,2026-07-01,2,9.0
