code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
600508,上海能源,A_Strong_Pullback (中风险接力),8.72,1.58,63.77752881419669,65.2020550571275,False,False,1.5903546936122648,1
002520,日发精机,E_Leader_Restart (二次启动),6.65,16.81,78.63945402045897,78.7146189225044,False,False,2247.279677542656,3
600556,天下秀,E_Leader_Restart (二次启动),5.21,9.88,68.8655714180975,81.06893270511466,False,False,1156.6661375383655,3
002908,德生科技,E_Leader_Restart (二次启动),7.35,8.69,73.1904814996625,82.97335797335793,False,False,1081.242983194514,3
002066,瑞泰科技,E_Leader_Restart (二次启动),21.69,5.01,68.8266525664234,89.09460153084682,False,False,586.1965999082281,3
603206,嘉环科技,E_Leader_Restart (二次启动),15.04,4.79,71.1067871940457,87.80931503421414,False,False,579.0225681211141,3
603758,秦安股份,E_Leader_Restart (二次启动),13.82,3.09,70.12445264156545,81.99697428139186,False,False,368.3637497261433,3
000019,深粮控股,D_Strong_Breakout (高风险追涨/优化),6.29,5.17,73.45673384849498,75.1445743989604,True,False,417.74844539639093,4
002651,利君股份,D_Strong_Breakout (高风险追涨/优化),8.39,3.15,74.80973075541306,75.61180392641066,True,True,259.21571706750626,4
600623,华谊集团,D_Strong_Breakout (高风险追涨/优化),8.64,2.14,74.64786784272009,84.30096763430089,True,False,175.72108090176312,4
