code,name,当时价格,涨跌,30日均换手,今日量比,RSI6,K值,距60日线空间%
601198,东兴证券,13.68,跌,0.81,1.02,44.57,58.6,3.65
600232,金鹰股份,5.92,涨,1.8,1.0,37.7,23.68,-21.16
002860,星帅尔,16.18,跌,5.3,0.68,52.24,65.84,16.55
603758,秦安股份,9.14,跌,1.07,0.64,11.35,37.73,-18.16
002065,东华软件,6.99,跌,1.4,1.19,45.26,45.22,-9.68
603585,苏利股份,9.11,跌,1.7,1.16,1.29,14.4,-45.79
002100,天康生物,6.61,涨,1.65,1.16,56.57,65.28,-4.48
600755,厦门国贸,5.91,涨,0.71,0.74,63.89,69.4,0.08
002373,千方科技,7.03,跌,1.62,1.34,41.24,35.56,-14.75
002697,红旗连锁,4.66,涨,1.36,1.63,91.67,89.81,-1.57
000633,合金投资,4.99,涨,2.73,0.77,63.64,53.31,-13.04
603600,永艺股份,9.04,跌,1.52,0.79,23.94,49.39,-14.58
600707,彩虹股份,10.62,跌,7.54,0.67,19.58,6.79,-5.12
002031,巨轮智能,5.08,跌,7.49,0.59,7.89,15.0,-18.89
600281,华阳新材,4.01,涨,2.51,0.81,53.12,28.22,-18.61
603058,永吉股份,8.36,跌,1.72,0.92,36.17,24.32,-19.01
002014,永新股份,10.85,涨,0.68,1.2,36.25,52.66,-1.52
600724,宁波富达,5.21,跌,0.94,0.99,29.58,34.82,-21.98
002952,亚世光电,19.67,涨,4.07,0.9,37.65,21.91,-21.8
601179,中国西电,12.39,跌,3.17,1.26,6.82,12.78,-22.91
000570,苏常柴Ａ,4.71,跌,2.22,0.97,8.57,41.06,-17.83
000425,徐工机械,8.39,涨,1.64,1.8,32.11,31.43,-10.23
002349,精华制药,6.7,涨,1.07,1.82,62.71,73.47,-2.96
000035,中国天楹,4.39,跌,1.54,1.15,16.33,13.09,-23.9
603598,引力传媒,15.76,涨,6.11,0.75,44.39,17.13,-22.76
603015,弘讯科技,10.09,跌,3.51,0.61,6.39,12.53,-16.91
000735,罗 牛 山,5.03,涨,1.97,1.15,56.86,48.69,-11.12
601399,国机重装,3.08,涨,1.32,0.76,29.73,16.41,-19.07
603506,南都物业,9.82,涨,1.73,0.8,71.19,39.4,-13.77
601377,兴业证券,6.08,跌,1.44,0.99,39.02,35.78,1.58
002343,慈文传媒,4.53,跌,2.86,1.24,39.29,50.11,-15.73
002655,共达电声,33.28,跌,9.0,1.07,15.53,8.49,-7.78
600234,科新发展,21.64,跌,1.57,1.54,3.59,9.07,-15.36
002631,德尔未来,8.46,跌,5.93,0.64,8.33,10.98,1.01
