Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
603617,君禾股份,2026-08-06,7.02,2.03%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),6.33,6.97,0.82X
603717,天域生物,2026-08-06,6.07,2.88%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.64,6.32,1.06X
002590,万安科技,2026-08-14,9.44,-0.11%,趋势: 高于MA20,9.26,10.28,0.94X
002206,海 利 得,2026-08-06,5.42,1.12%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.25,5.37,1.33X
000625,长安汽车,2026-08-06,7.38,-2.38%,"形态: 两连阴 (-2.43%, -0.79%) | 趋势: 高于MA20",7.34,7.60,0.97X
000532,华金资本,2026-08-14,10.83,0.19%,趋势: 高于MA20,10.52,11.22,0.93X
605138,盛泰集团,2026-08-06,5.69,1.43%,"形态: 两连阴 (-1.05%, -0.71%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",5.49,6.22,0.75X
600610,中毅达,2026-08-06,7.05,-0.70%,趋势: 高于MA20,6.57,7.36,0.77X
002855,捷荣技术,2026-08-06,9.91,1.02%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),9.20,10.33,0.81X
603060,国检集团,2026-08-06,5.58,1.09%,量能: 放量 (1.63X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.36,6.22,1.63X
603105,芯能科技,2026-08-28,7.62,-3.30%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,7.33,7.21,0.63X
600598,北大荒,2026-08-06,12.2,0.25%,"形态: 两连阴 (-1.21%, -0.90%) | 趋势: 高于MA20",11.93,13.01,1.26X
000812,陕西金叶,2026-08-14,3.57,-1.11%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,3.43,3.42,0.57X
600015,华夏银行,2026-08-06,6.81,0.44%,"形态: 两连阴 (-1.85%, -1.60%)",6.94,6.80,0.77X
002905,金逸影视,2026-08-06,7.67,0.92%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.30,7.60,0.99X
002576,通达动力,2026-08-14,14.29,-1.92%,趋势: 高于MA20,14.05,14.83,1.28X
600926,杭州银行,2026-08-06,16.18,0.19%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,15.88,15.83,0.84X
002982,湘佳股份,2026-08-06,11.93,0.34%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.71,12.26,1.11X
002399,海普瑞,2026-08-06,9.69,-0.21%,趋势: 多头排列 (5>20>60),9.72,9.61,1.15X
002722,物产金轮,2026-08-06,12.68,-0.78%,趋势: 高于MA20,12.11,12.87,0.77X
603839,安正时尚,2026-08-06,6.76,-0.44%,趋势: 高于MA20,6.26,6.54,0.66X
002803,吉宏股份,2026-08-06,19.98,2.04%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),19.51,21.80,0.82X
002731,萃华珠宝,2026-08-28,0.85,-9.57%,"形态: 10日内有涨停 | 形态: 两连阴 (-9.57%, -9.62%)",1.50,2.76,0.15X
002752,昇兴股份,2026-08-28,6.06,1.17%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.97,5.99,1.32X
600718,东软集团,2026-08-06,8.43,-1.52%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,8.12,8.03,1.05X
605500,森林包装,2026-08-14,6.9,-0.58%,趋势: 高于MA20,6.61,7.06,0.77X
600163,中闽能源,2026-08-28,5.25,3.55%,量能: 放量 (1.93X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),5.14,5.26,1.93X
603896,寿仙谷,2026-08-06,14.59,-0.41%,"形态: 两连阴 (-0.67%, -1.35%)",14.67,14.94,0.81X
600333,长春燃气,2026-08-14,6.21,0.00%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,5.86,5.62,0.80X
603739,蔚蓝生物,2026-08-06,11.63,1.04%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),11.50,12.33,0.99X
002745,木林森,2026-08-06,10.98,2.71%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.90,10.86,1.08X
002995,天地在线,2026-08-06,18.13,-0.82%,形态: 10日内有涨停 | 趋势: 高于MA20,16.28,19.12,0.69X
601607,上海医药,2026-08-06,16.43,-0.18%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.07%, -1.02%)",16.62,16.34,0.82X
601369,陕鼓动力,2026-08-06,9.68,2.22%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.62%, -0.94%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",9.32,9.13,1.28X
000902,新洋丰,2026-08-06,13.5,-1.68%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,13.34,13.00,1.26X
000070,特发信息,2026-08-28,15.91,-3.58%,形态: 10日内有涨停 | 趋势: 高于MA20,14.85,16.71,1.02X
000818,航锦科技,2026-08-06,13.54,-1.10%,趋势: 高于MA20,12.86,13.84,0.70X
000993,闽东电力,2026-08-28,9.92,0.10%,动量: 突破转强 (阳线上穿5/10),10.06,10.37,0.82X
601139,深圳燃气,2026-08-06,6.41,-0.62%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.26%, -0.62%) | 趋势: 高于MA20",6.36,6.26,0.87X
002471,中超控股,2026-08-14,5.74,-0.35%,趋势: 高于MA20,5.41,6.18,0.85X
603759,海天股份,2026-08-06,7.26,0.55%,"形态: 两连阴 (-0.68%, -1.10%) | 趋势: 高于MA20",7.01,7.52,0.83X
605167,利柏特,2026-08-14,14.39,0.63%,"形态: 10日内有涨停 | 形态: 两连阴 (-0.73%, -4.79%) | 趋势: 高于MA20",13.99,14.84,0.63X
601727,上海电气,2026-08-06,6.88,-1.99%,趋势: 高于MA20,6.72,7.38,0.98X
000519,中兵红箭,2026-08-06,14.57,-1.55%,趋势: 高于MA20,14.42,17.75,1.06X
