代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002590,2026-07-13,9.04,9.66,6.86,8.19,1,18,"形态: 两连阴 (-0.62%, -0.31%)"
000532,2026-08-06,10.8,10.83,0.28,1.11,1,6,趋势: 高于MA20
000812,2026-07-15,3.32,3.57,7.53,10.24,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000812,2026-08-06,3.53,3.57,1.13,3.68,1,6,"形态: 两连阴 (-0.57%, -0.29%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
605500,2026-08-06,6.92,6.9,-0.29,2.17,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600333,2026-07-13,5.5,6.12,11.27,11.27,1,18,趋势: 高于MA20
002275,2026-07-15,13.67,13.36,-2.27,0.73,0,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002471,2026-07-15,5.13,5.74,11.89,14.81,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)"
002471,2026-08-06,5.75,5.74,-0.17,2.43,0,6,趋势: 高于MA20
603272,2026-07-15,16.23,16.8,3.51,6.28,1,17,"形态: 两连阴 (-10.01%, -9.26%)"
603928,2026-07-15,13.71,12.67,-7.59,-7.59,0,17,"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -9.99%)"
002268,2026-07-15,14.42,14.81,2.7,2.77,1,16,"形态: 两连阴 (-6.65%, -1.12%) | 趋势: 高于MA20"
600057,2026-07-15,6.05,6.24,3.14,10.91,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603535,2026-07-15,6.11,6.34,3.76,6.38,1,17,动量: 突破转强 (阳线上穿5/10)
601058,2026-07-15,13.33,13.61,2.1,7.5,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000498,2026-07-13,4.91,5.02,2.24,6.31,1,18,动量: 突破转强 (阳线上穿5/10)
601528,2026-07-13,4.66,4.98,6.87,12.23,1,18,"量能: 放量 (1.56X) | 形态: 两连阴 (-1.08%, -0.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002302,2026-07-15,4.48,4.73,5.58,13.62,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002302,2026-08-06,5.08,4.73,-6.89,0.2,0,6,"量能: 放量 (2.07X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.21%, -1.28%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
000589,2026-07-13,4.25,4.28,0.71,3.76,1,18,"形态: 两连阴 (-0.70%, -0.70%)"
600588,2026-07-15,9.31,11.65,25.13,28.79,1,22,"形态: 两连阴 (-3.21%, -1.71%)"
600588,2026-08-06,11.99,11.65,-2.84,-0.58,0,6,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600416,2026-07-15,8.57,8.94,4.32,9.92,1,22,"形态: 两连阴 (-3.02%, -3.89%)"
600416,2026-08-06,9.18,8.94,-2.61,-0.33,0,6,"形态: 两连阴 (-0.64%, -0.11%) | 趋势: 高于MA20"
002585,2026-07-15,9.24,9.37,1.41,1.84,1,17,形态: 10日内有涨停
603209,2026-07-13,13.41,13.71,2.24,2.24,1,18,趋势: 高于MA20
001210,2026-07-15,20.77,24.04,15.74,15.74,1,22,动量: 突破转强 (阳线上穿5/10)
001210,2026-08-06,21.78,24.04,10.38,10.38,1,6,量能: 放量 (2.51X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002184,2026-07-13,8.89,9.85,10.8,11.36,1,18,形态: 10日内有涨停
600288,2026-07-13,16.64,11.07,-33.47,3.25,0,18,"形态: 10日内有涨停 | 形态: 两连阴 (-1.93%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
603766,2026-07-13,12.1,14.01,15.79,23.31,1,18,"形态: 两连阴 (-4.80%, -3.66%)"
605055,2026-07-15,10.13,9.61,-5.13,-1.97,0,22,形态: 10日内有涨停
605055,2026-08-06,9.28,9.61,3.56,6.57,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000593,2026-07-15,21.56,25.02,16.05,28.94,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-10.02%, -2.15%)"
000593,2026-08-06,22.72,25.02,10.12,22.36,1,6,量能: 放量 (2.69X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600966,2026-08-06,4.91,4.88,-0.61,4.48,0,6,趋势: 高于MA20
603856,2026-07-15,12.02,11.24,-6.49,-3.66,0,22,"形态: 两连阴 (-7.18%, -2.39%)"
600909,2026-07-13,8.86,8.1,-8.58,7.22,0,18,形态: 10日内有涨停
000829,2026-07-15,8.29,8.31,0.24,10.01,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603758,2026-07-13,9.14,9.53,4.27,4.27,1,18,形态: 10日内有涨停
000811,2026-07-13,48.12,40.31,-16.23,8.06,0,18,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停
603703,2026-08-06,9.23,9.75,5.63,5.63,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000892,2026-07-13,3.98,4.04,1.51,4.77,1,18,量能: 放量 (1.58X) | 形态: 10日内有涨停 | 趋势: 高于MA20
600706,2026-07-15,7.02,7.71,9.83,12.96,1,22,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600706,2026-08-06,7.58,7.71,1.72,4.62,1,6,趋势: 高于MA20
002949,2026-07-15,10.13,10.51,3.75,5.43,1,22,动量: 突破转强 (阳线上穿5/10)
002949,2026-08-06,10.42,10.51,0.86,2.5,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603819,2026-07-15,12.9,14.2,10.08,12.4,1,22,形态: 10日内有涨停 | 趋势: 高于MA20
603819,2026-08-06,13.95,14.2,1.79,3.94,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603033,2026-07-15,8.27,7.89,-4.59,1.33,0,17,"形态: 两连阴 (-1.45%, -0.73%)"
002346,2026-07-15,20.16,22.33,10.76,10.76,1,22,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停
002346,2026-08-06,20.19,22.33,10.6,10.6,1,6,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002198,2026-07-13,3.35,3.37,0.6,1.19,1,18,趋势: 高于MA20
603305,2026-08-06,11.88,11.67,-1.77,1.18,0,6,趋势: 高于MA20
603278,2026-07-15,9.34,9.53,2.03,6.21,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-6.97%, -0.53%)"
603278,2026-08-06,9.49,9.53,0.42,4.53,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002279,2026-07-13,5.86,6.98,19.11,19.45,1,18,量能: 放量 (1.72X) | 动量: 突破转强 (阳线上穿5/10)
600773,2026-07-15,11.12,11.24,1.08,1.08,1,17,"形态: 两连阴 (-6.07%, -1.13%)"
600530,2026-07-15,5.32,3.87,-27.26,1.32,0,16,形态: 10日内有涨停
002098,2026-07-15,6.56,7.09,8.08,8.08,1,22,动量: 突破转强 (阳线上穿5/10)
002098,2026-08-06,6.77,7.09,4.73,4.73,1,6,"形态: 两连阴 (-0.74%, -1.04%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002560,2026-07-15,5.99,6.4,6.84,9.68,1,22,量能: 放量 (1.61X)
002560,2026-08-06,6.46,6.4,-0.93,1.7,0,6,趋势: 高于MA20
600589,2026-07-13,7.84,8.22,4.85,6.89,1,18,"形态: 两连阴 (-1.89%, -1.47%)"
600226,2026-08-06,5.85,6.31,7.86,7.86,1,6,动量: 突破转强 (阳线上穿5/10)
002204,2026-08-06,5.34,5.34,0.0,1.31,0,6,"形态: 两连阴 (-1.45%, -0.92%) | 趋势: 高于MA20"
002045,2026-07-15,7.58,8.9,17.41,17.41,1,17,量能: 放量 (1.84X)
000403,2026-07-15,9.77,10.6,8.5,8.7,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605077,2026-08-06,11.07,10.93,-1.26,1.54,0,6,"形态: 两连阴 (-1.07%, -0.90%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002363,2026-07-15,6.22,6.46,3.86,5.63,1,22,动量: 突破转强 (阳线上穿5/10)
002363,2026-08-06,6.44,6.46,0.31,2.02,1,6,"形态: 两连阴 (-0.47%, -0.16%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
605208,2026-07-15,18.94,13.83,-26.98,-8.87,0,22,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
605208,2026-08-06,13.46,13.83,2.75,4.38,1,6,形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10)
002406,2026-08-06,6.83,6.78,-0.73,1.46,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603017,2026-08-06,9.42,9.5,0.85,2.97,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600480,2026-07-13,8.36,8.68,3.83,7.66,1,18,形态: 10日内有涨停
000830,2026-08-06,12.85,11.92,-7.24,0.39,0,6,趋势: 高于MA20
603356,2026-07-13,15.34,15.7,2.35,2.87,1,18,"形态: 10日内有涨停 | 形态: 两连阴 (-2.36%, -1.57%)"
603680,2026-08-06,10.59,10.17,-3.97,0.57,0,6,趋势: 高于MA20
601398,2026-07-15,7.51,7.53,0.27,8.52,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000755,2026-07-15,4.67,4.6,-1.5,2.36,0,17,趋势: 高于MA20
002675,2026-07-13,12.83,12.85,0.16,4.13,1,18,趋势: 高于MA20
605189,2026-07-15,15.64,16.14,3.2,9.34,1,22,量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605189,2026-08-06,16.24,16.14,-0.62,5.3,0,6,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
600359,2026-07-15,5.91,6.07,2.71,3.89,1,17,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600855,2026-07-15,11.8,12.68,7.46,10.42,1,22,"形态: 两连阴 (-9.99%, -4.10%)"
600855,2026-08-06,12.71,12.68,-0.24,2.52,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002361,2026-07-15,10.62,11.92,12.24,17.61,1,22,"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -5.67%)"
002361,2026-08-06,11.7,11.92,1.88,6.75,1,6,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603158,2026-08-06,10.34,10.76,4.06,7.16,1,6,趋势: 高于MA20
600435,2026-07-15,10.09,10.66,5.65,7.33,1,16,"形态: 两连阴 (-9.13%, -2.61%)"
600776,2026-08-06,13.2,12.95,-1.89,-1.21,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600965,2026-07-15,2.66,2.63,-1.13,1.5,0,16,趋势: 高于MA20
600586,2026-07-15,4.03,4.15,2.98,6.2,1,22,"形态: 两连阴 (-3.73%, -0.73%)"
600586,2026-08-06,4.22,4.15,-1.66,1.18,0,6,"形态: 两连阴 (-0.70%, -0.47%) | 趋势: 高于MA20"
601882,2026-07-13,17.75,19.48,9.75,9.97,1,18,"形态: 10日内有涨停 | 形态: 两连阴 (-0.41%, -0.93%)"
605008,2026-07-15,12.15,11.57,-4.77,0.41,0,17,"量能: 放量 (2.41X) | 形态: 两连阴 (-2.28%, -0.60%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
