触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-3.82%, -1.75%)",1,33.5,34.51,100.0%
"形态: 两连阴 (-3.21%, -1.71%)",1,28.79,28.79,100.0%
量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,26.55,26.55,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.02%, -1.50%)",1,23.94,28.48,100.0%
"形态: 两连阴 (-4.36%, -1.01%)",1,21.5,28.8,100.0%
"形态: 两连阴 (-1.66%, -0.38%) | 动量: 突破转强 (阳线上穿5/10)",1,20.07,22.86,100.0%
"形态: 两连阴 (-10.03%, -6.71%)",1,19.57,19.57,100.0%
"形态: 两连阴 (-2.62%, -1.64%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,19.38,24.66,100.0%
量能: 放量 (1.72X) | 动量: 突破转强 (阳线上穿5/10),1,19.11,19.45,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -1.32%)",1,18.45,23.27,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.91%, -0.32%)",1,17.82,25.04,100.0%
"形态: 两连阴 (-10.02%, -9.96%)",1,17.68,17.68,100.0%
"形态: 两连阴 (-4.80%, -3.66%)",1,15.79,23.31,100.0%
"形态: 两连阴 (-9.97%, -7.80%)",1,15.56,15.56,100.0%
量能: 放量 (1.57X),1,12.95,12.95,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.19%, -0.76%) | 趋势: 高于MA20",1,12.5,14.5,100.0%
"形态: 两连阴 (-5.81%, -2.46%)",1,12.37,12.37,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.97%, -1.53%)",1,12.09,12.67,100.0%
"形态: 两连阴 (-1.09%, -0.60%)",1,11.8,15.49,100.0%
量能: 放量 (1.66X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.76,13.19,100.0%
